iteration	commit	metric	status	description
0	7892cfd8	56	baseline	round-1-optimized prompts.ts on 12 fresh listings (qwen3-vl-8b, imageCap=40). Prior mean was ~48; this run 56.
1	dcd734f5	62	keep	add-constraint: STRUCTURAL FACTS block — name multi-level/ADU/in-law/neighborhood/listed amenities verbatim. Grounding subtotal 60->68; +6 over baseline.
2	1d6a636d	52	discard	tighten: force >=half notableFeatures to echo listed amenity terms. Slop exploded (-22 total) from added verbosity; -10 vs best. Reverted (b5e44f0e).
3	b15300cb	66	keep	tighten: strip listing hype words (retreat/oasis/breathtaking) when echoing facts. Slop dropped, grounding subtotal 70 (highest). +4 over prev best.
4	487944d6	57	discard	add-constraint: hard gate on 'Remote Work Ready' tag. Helped target tag (genTag fell) but slop variance spiked this run; -9 vs best. Reverted (90b11718).
-	b15300cb	68	recheck	variance re-run of best state (no mutation): 68 (subtotal 71, rep -3). Confirms best is stable ~66-68, not a fluke.
5	33da1aaf	51	discard	add-constraint: gate Entertainer's Dream + ban stock hosting phrasing. Repetition was already low (-3); added text raised slop/genTag. -15 vs best. Reverted (e38dc525).
6	9e684c3b	63	discard	remove-bloat: de-narrativize lifestyle voice (drop scene-painting examples). Slop dropped but repetition rose to -6 (terse clauses collide more); net 63, below best band. Reverted (3fe3934e).
7	00b37ad8	72	keep	tighten (in-place, no new block): strengthen Remote Work Ready gate to omit-by-default. genericTag near-zeroed, grounding subtotal 79 (highest). +4-6 over prev best. KEY LESSON: in-place tightening beats adding text.
8	2f940681	66	discard	tighten (in-place): omit-by-default the other 4 easy lifestyle tags. Zeroed genericTag as intended, BUT over-conservatism cut grounding subtotal to 67-69 (vs 79). Two draws 66,64 ~ -7 vs best. Reverted (5994e6c7).
9	f955e5ec	61	discard	tighten (in-place): force property-unique opener in lifestyleFits to attack repetition. Repetition got WORSE (-6); collisions are in tag names not openers. -11 vs best. Reverted (034bae61).
-	-	-	STOP	Plateau: 2 consecutive discards + repetition proven model-bound (unattackable by wording). Best=72 (iter7, 00b37ad8). Stopping mutation phase to preserve budget for final confirmation; marginal EV of more iters negative.
FINAL	00b37ad8	62	qwen-best	Final Qwen confirmation on best prompt (00b37ad8). 3 draws on this exact state: 72 (iter7), 62 (A), 60 (B). Median=62, higher-of-final-two=62, best-observed=72. Honest centered estimate ~62, range 60-72.
FINAL	00b37ad8	84	gemini-bar	Gemini-3-flash on same 12 listings, same prompt: 84 (subtotal 96, rep -12). Prior bar ~87.5; consistent. Gemini grounding subtotal 96 vs Qwen 66-79 — the gap is grounding capability.
